NPK;G27;STPP;SSP;NP;NA;DCP;TSP;DAP;AP54;Year
2052;46;12520;;2808;23658;6040;68049;130200;108861;31/01/2010
3970;1170;11155;;2326;21461;7450;62260;98200;100901;28/02/2010
5200;1513;12185;;2939;22676;7390;68848;104500;98851;31/03/2010
4560;2639;11830;;707;5453;3570;47769;70500;92700;30/04/2010
4040;3127;12360;;0;0;8670;62869;50700;73514;31/05/2010
2420;4260;11770;;1487;10354;8400;66563;87700;85058;30/06/2010
6910;1271;12350;;1197;8835;4800;66707;122900;112161;31/07/2010
7070;23;12460;;3025;19525;6060;66065;115900;109739;31/08/2010
7040;112;11800;;807;5702;3710;61563;127900;102290;30/09/2010
3290;2799;10930;;0;0;6560;66041;117400;106505;31/10/2010
4780;1855;11945;;2615;18257;8260;62497;130600;108625;30/11/2010
1470;4690;12145;;2888;19229;5520;63491;120160;113428;31/12/2010
2300;1950;12240;;182;2212;8230;52433;67800;82010;31/01/2011
2820;2405;2570;;182;2212;2930;13153;0;26949;28/02/2011
2780;220;4690;;1182;21332;1970;2389;0;8448;31/03/2011
2450;3557;7815;;384;3116;3700;26175;64850;57498;30/04/2011
980;4606;12045;;1540;17114;8460;52021;51500;84835;31/05/2011
6550;100;11770;;0;0;6800;33632;37200;40835;30/06/2011
7840;0;3570;;0;0;3890;46421;11650;8490;31/07/2011
8030;29;350;;0;0;2100;37985;17350;18199;31/08/2011
6220;590;7675;;1395;12185;6420;50993;65400;66026;30/09/2011
3560;2690;10135;;2008;13425;7000;62015;71000;75110;31/10/2011
1740;1004;6305;;1181;8243;2630;29873;41670;48127;30/11/2011
0;0;5495;;0;0;550;1838;0;1692;31/12/2011
0;0;11980;;899;20460;5310;1838;40600;47458;31/01/2012
100;26;11220;;629;23678;7300;14842;86200;83452;29/02/2012
3200;1420;11610;;1352;21871;6780;32147;67400;76731;31/03/2012
1000;3050;11270;;1147;19735;3430;50124;36800;47589;30/04/2012
1150;4090;11015;;697;23095;1790;28243;5568;8615;31/05/2012
2750;2450;6870;;14;2236;3940;42341;32860;39491;30/06/2012
7100;244;10005;;1042;12079;6460;56034;66200;70355;31/07/2012
6900;220;7210;;1576;13250;2900;58401;105700;80338;31/08/2012
3240;2160;10605;;1214;8712;5070;60044;64950;93738;30/09/2012
1270;0;5240;;196;2941;2010;62174;32260;62038;31/10/2012
2400;0;8275;;1560;15603;4660;43373;52271;68997;30/11/2012
2760;778;11395;;696;8077;7830;44750;75216;98210;31/12/2012
0;48;7345;;0;12145;2400;17845;19426;35596;31/01/2013
480;1300;6259;;0;1586;4940;9993;51600;37318;28/02/2013
1850;3150;12310;;727;22248;3990;52381;97950;82383;31/03/2013
1090;5510;11570;;567;15062;4390;58827;82500;71103;30/04/2013
1620;4580;10795;;688;6277;2990;48698;71450;70953;31/05/2013
0;1380;10585;;1091;9175;3400;53293;63150;48767;30/06/2013
0;0;11825;;2462;18719;4470;54907;62800;62989;31/07/2013
2720;61;11840;;1028;16503;2640;54837;65500;67055;31/08/2013
1000;0;11525;;0;0;2870;45069;74300;67489;30/09/2013
1000;0;12310;;0;0;7300;51660;103361;86157;31/10/2013
1500;0;10060;;838;12441;3890;44749;72500;59020;30/11/2013
0;1591;11025;;1726;17090;2890;25784;59000;58963;31/12/2013
0;120;10540;;871;19857;5810;49205;51650;51006;31/01/2014
1970;691;10545;;1747;17741;3010;46924;36000;44981;28/02/2014
3450;720;10340;;1211;17085;5850;42873;49700;61742;31/03/2014
50;2455;11770;;1182;16618;6780;32438;43350;57393;30/04/2014
0;1700;12240;;1766;19048;6920;23157;42454;63492;31/05/2014
600;150;10920;;662;14794;5100;43975;31700;51398;30/06/2014
3600;0;12230;;818;8557;4480;44726;53200;50660;31/07/2014
950;20;11470;;396;4054;0;51654;62400;47105;31/08/2014
3300;0;9405;;906;7942;2420;44849;61800;53255;30/09/2014
2600;460;8805;;81;2048;6690;35702;53112;56916;31/10/2014
2200;1211;8840;;1513;15108;8410;39262;61490;51342;30/11/2014
3200;0;7280;;1213;15260;5000;27549;40672;43737;31/12/2014
0;2003;5590;;0;17145;3220;28306;26829;21592;31/01/2015
1100;900;3620;;931;10933;3800;23677;34351;23038;28/02/2015
0;1800;9260;;1104;10518;6640;23795;21040;39726;31/03/2015
0;1100;10840;;0;19841;7650;17467;3075;48378;30/04/2015
0;25;4680;;0;14586;8420;0;0;8259;31/05/2015
2400;0;750;;0;1715;5170;0;0;7646;30/06/2015
0;0;750;;0;0;2980;14820;9789;23400;31/07/2015
1370;8;10560;;843;15107;9210;27350;59937;50624;31/08/2015
0;0;11210;;1217;17797;6040;29035;41009;59634;30/09/2015
3500;0;11300;;239;16662;5540;27862;46427;67241;31/10/2015
1300;0;10780;;959;18703;2150;26419;62571;65873;30/11/2015
0;0;7720;;312;6250;6470;43066;64490;60046;31/12/2015
450;0;3860;;1734;18269;7360;42634;55763;59292;31/01/2016
4900;0;6975;;138;7508;1790;38813;43768;52475;29/02/2016
550;32;6900;;1378;20410;9060;29777;57821;59975;31/03/2016
0;1100;7805;;211;13858;4400;32720;49871;49032;30/04/2016
0;3600;7475;;933;10621;6150;41424;47546;59338;31/05/2016
0;1200;6700;;1472;17453;3230;32073;43138;63991;30/06/2016
0;630;5615;;851;16961;5490;33468;30663;40941;31/07/2016
0;3907;6250;;0;0;7290;30662;32319;46717;31/08/2016
0;1000;3190;;0;0;5040;23047;45212;34464;30/09/2016
0;0;4475;;1262;19510;4280;26355;45173;28919;31/10/2016
4800;28;3195;;1992;21051;4380;27434;57258;48555;30/11/2016
1810;0;5540;;1611;20698;4690;26636;61268;55386;31/12/2016
0;0;4090;;604;20301;2130;28257;56980;53578;31/01/2017
1370;0;6975;;0;13055;0;33357;56686;48871;28/02/2017
150;2201;6880;;2282;17642;4250;11704;53244;61932;31/03/2017
103;1905;7190;;2778;19310;2910;15781;29179;50433;30/04/2017
1500;70;7185;;0;0;4980;33752;38683;43408;31/05/2017
2100;0;7725;;400;0;2940;26803;52828;53302;30/06/2017
0;2000;8400;;639;5749;5090;31642;48378;52496;31/07/2017
0;1416;8250;;1792;17635;0;29094;50268;49913;31/08/2017
300;1700;4580;;1990;15837;1520;21744;51129;41206;30/09/2017
900;2322;7915;;993;17332;3250;25141;49666;50868;31/10/2017
1600;0;7705;;1454;18870;890;21215;35531;38301;30/11/2017
1360;0;6835;;0;24788;1110;21247;42101;53115;31/12/2017
0;0;3455;;1639;21967;4350;20988;25202;30285;31/01/2018
1470;0;1000;;1211;20034;7770;65;2343;1806;28/02/2018
2123;0;0;;936;22847;6930;9814;0;1629;31/03/2018
0;0;3985;;1667;17599;2690;11901;39960;40624;30/04/2018
0;50;9385;;579;17472;9830;19422;40944;57940;31/05/2018
2510;200;9050;;1303;15014;3290;28231;36718;65698;30/06/2018
3900;0;5125;;1056;17829;3870;29916;34719;41331;31/07/2018
2530;330;4010;;705;12356;0;31759;31309;30950;31/08/2018
0;64;2360;;0;0;2150;21003;30298;34204;30/09/2018
3390;0;4860;;1263;10846;9090;23906;31711;45265;31/10/2018
2490;970;6310;;2232;19939;5010;28622;34401;43894;30/11/2018
2540;4;8170;;1863;19344;770;19809;25226;58319;31/12/2018
2600;900;5025;;751;6780;500;20324;7752;18224;31/01/2019
805;150;3585;;1889;18622;6830;33489;43256;43397;28/02/2019
0;898;5990;;1509;18631;3370;14828;37305;42957;31/03/2019
0;0;5450;;964;13502;3170;25593;25930;35336;30/04/2019
1650;2900;5390;;820;7183;3400;14129;27849;34244;31/05/2019
2630;163;1990;;2185;18581;1040;27226;30509;39395;30/06/2019
4140;177;3835;;1930;19476;4430;31962;44154;50284;31/07/2019
1260;0;0;;683;20365;140;22053;48559;27828;31/08/2019
0;0;2035;;329;1062;3310;16595;38974;28395;30/09/2019
0;1210;5960;;19;473;5050;21457;44972;29579;31/10/2019
0;2529;5900;;1192;19011;2110;20218;50382;32416;30/11/2019
0;3500;2500;;0;16739;2390;28254;44926;53388;31/12/2019
3020;160;4915;0;2344;19675;5340;20214;43300;60177;31/01/2020
0;470;5960;12288;942;15430;3220;3166;47900;51060;28/02/2020
0;0;6060;10275;1233;20262;2150;0;45800;45898;31/03/2020
0;0;5695;15526;0;6370;4500;0;35500;41288;30/04/2020
0;13;6140;1841;0;0;5680;15665;49000;44147;31/05/2020
3140;0;6020;0;0;0;2030;7721;62209;47857;30/06/2020
960;0;5810;0;0;0;5550;2791;32055;14755;31/07/2020
370;570;5460;;0;0;0;3125;19194;5087;31/08/2020
