NPK;G27;STPP;NA;DCP;TSP;DAP;AP54;Year
2050;1607;8186;;2850;69490;134144;41277;31/01/2010
4600;5150;11489;;6985;24000;46210;45322;28/02/2010
6000;2300;14587;;6540;68500;86999;43274;31/03/2010
1120;1905;8974;;540;16500;34051;52997;30/04/2010
5600;6600;12861;;4000;89984;65808;43874;31/05/2010
0;0;12127;;8024;68525;145938;11243;30/06/2010
8780;1745;10436;;5300;57900;127873;66579;31/07/2010
6300;1640;12597;;2701;78290;123132;54433;31/08/2010
6000;780;11168;;300;72340;81026;38795;30/09/2010
3400;5095;10820;;6535;32930;114226;43246;31/10/2010
4650;500;11392;;7500;61200;109884;31994;30/11/2010
3500;0;12565;;3400;72810;88088;54216;31/12/2010
1800;0;12240;;0;61878;108253;48821;31/01/2011
2300;5850;2570;;500;4400;13697;24518;28/02/2011
4503;0;4690;;0;33000;0;9034;31/03/2011
0;2856;7815;;500;19570;0;3601;30/04/2011
0;2290;12045;;9208;37380;62619;45389;31/05/2011
8450;0;9785;;3925;31730;34608;31498;30/06/2011
5250;0;3570;;2255;33036;18030;8764;31/07/2011
10150;2958;350;;3850;45020;25090;37;31/08/2011
3000;0;7675;;7100;43976;44420;22913;30/09/2011
8800;0;10135;;0;26250;32675;11318;31/10/2011
0;3000;6305;;500;0;15012;26906;30/11/2011
0;0;5495;;500;25086;0;16807;31/12/2011
0;0;10006;0;4000;26250;34795;6250;31/01/2012
0;1796;6357;0;0;0;41667;33454;29/02/2012
4450;0;9609;0;5000;32500;76401;34039;31/03/2012
1193;0;10369;0;0;99715;60307;30963;30/04/2012
0;2000;11474;0;5300;44950;15544;3420;31/05/2012
0;3100;7744;0;500;27100;16052;11619;30/06/2012
8650;2448;6713;0;4500;44610;37353;19259;31/07/2012
6850;0;12249;0;0;55870;102659;37263;31/08/2012
2150;0;7158;0;5200;34350;63959;55998;30/09/2012
6600;0;2399;0;400;26250;43554;30499;31/10/2012
2065;0;15476;3600;4400;27250;25187;61231;30/11/2012
1973;4855;8732;0;4800;27500;41300;36100;31/12/2012
0;6020;6678;4849;0;2700;15191;27519;31/01/2013
1300;0;9397;0;4000;67510;61997;29384;28/02/2013
600;0;12692;1728;1200;54750;71661;19824;31/03/2013
1300;0;13011;0;0;73300;45181;22339;30/04/2013
0;0;9686;0;0;0;27294;9035;31/05/2013
0;0;9523;0;5600;54300;41050;26708;30/06/2013
0;0;12150;0;0;26250;43082;20696;31/07/2013
3000;1100;10910;0;0;26930;45616;24321;31/08/2013
0;0;11452;0;5180;58800;84646;22648;30/09/2013
1760;0;11139;0;5000;46520;107484;28048;31/10/2013
0;0;9202;0;0;8590;53035;33179;30/11/2013
0;3130;10501;0;0;64806;38088;20910;31/12/2013
0;0;9964;0;4600;42530;31603;14633;31/01/2014
2000;2900;11619;0;500;70500;59652;14651;28/02/2014
5595;0;9269;0;5800;42200;19650;27967;31/03/2014
0;1050;10338;1700;4000;1000;33220;17506;30/04/2014
0;660;10488;0;4300;50076;11145;32910;31/05/2014
1000;0;12588;0;2500;28738;59600;32696;30/06/2014
0;0;11303;0;5747;51047;39855;17611;31/07/2014
3560;1500;11919;0;300;67400;51605;13762;31/08/2014
2700;0;9607;0;2300;36135;64701;21347;30/09/2014
3100;0;8415;0;700;55155;48056;19364;31/10/2014
200;1100;8827;0;5600;53500;46868;22887;30/11/2014
3000;0;7025;0;5700;26450;38008;12093;31/12/2014
0;5300;5385;0;0;31600;13830;12535;31/01/2015
2000;0;3038;0;0;0;14850;1650;28/02/2015
0;0;8454;0;1000;30248;10400;10606;31/03/2015
0;0;10840;0;6700;1350;9200;20637;30/04/2015
0;2500;5454;0;6400;10305;1200;1495;31/05/2015
0;0;1089;0;900;18900;16128;5311;30/06/2015
2500;0;314;0;4000;26250;2000;7072;31/07/2015
2512;0;7641;0;4400;31420;14950;10148;31/08/2015
0;0;10193;0;1600;26250;30130;21468;30/09/2015
4400;0;8568;0;5200;26250;29400;21796;31/10/2015
0;0;12270;0;4700;53850;49275;13521;30/11/2015
0;0;8018;0;4600;26250;32423;9838;31/12/2015
0;0;2819;0;400;52500;28425;35277;31/01/2016
8250;0;3792;0;0;12493;57949;27528;29/02/2016
0;3090;3827;0;10100;5750;88340;29149;31/03/2016
0;0;5448;0;1900;10500;39140;29393;30/04/2016
0;0;5255;0;4000;4250;18238;21486;31/05/2016
0;0;8073;0;4000;69188;34840;33894;30/06/2016
0;3200;4238;0;4000;59410;83095;18461;31/07/2016
0;2750;6514;0;2400;7962;43651;18408;31/08/2016
0;0;6700;0;5600;52500;32109;15569;30/09/2016
300;200;8429;0;0;52500;33313;18402;31/10/2016
2600;3150;2556;0;0;26250;21865;9875;30/11/2016
3092;0;5968;0;4000;0;24647;18515;31/12/2016
0;0;6951;0;0;26250;65288;10811;31/01/2017
0;0;5021;0;0;26250;80256;17506;28/02/2017
3625;3150;5914;0;0;0;24306;10885;31/03/2017
0;1490;7048;0;0;475;10568;23950;30/04/2017
0;0;6522;0;4000;26250;0;27304;31/05/2017
0;50;8821;0;0;27700;80489;22379;30/06/2017
0;0;8821;0;4000;26905;59544;19995;31/07/2017
0;6525;9008;0;0;32125;54752;21846;31/08/2016
1300;1300;5112;0;0;34500;47484;25418;30/09/2017
0;2325;5688;0;4000;30750;37150;26372;31/10/2017
4200;50;9340;0;0;27150;26430;20360;30/11/2017
23;125;6337;0;0;26250;8550;24468;31/12/2017
0;0;3201;0;1836;26250;7416;7819;31/01/2018
0;0;2008;0;7350;26250;30087;2178;28/02/2018
5000;0;688;0;5950;26250;3083;93;31/03/2018
0;0;1096;3000;3820;0;37405;6730;30/04/2018
0;0;8297;0;7000;29300;31539;17296;31/05/2018
3600;0;7018;0;4800;28210;16620;29995;30/06/2018
3200;0;6657;0;0;27500;24195;17346;31/07/2018
1700;0;2894;0;0;27500;19872;8914;31/08/2018
1575;4500;2011;0;4800;4450;24047;13619;30/09/2018
2000;0;6143;0;4000;61041;26976;10474;31/10/2018
0;1950;3346;2000;0;250;22047;19119;30/11/2018
0;0;5552;0;800;34570;5559;9824;31/12/2018
0;75;1585;0;4000;26250;17731;12443;31/01/2019
6200;0;4626;0;4600;1650;21502;14619;28/02/2019
2000;1650;4841;0;400;27750;31728;14025;31/03/2019
0;0;3618;0;4000;30300;10773;11507;30/04/2019
0;0;3338;0;1200;4720;4640;14264;31/05/2019
0;1373;3006;2000;4300;18210;12160;11844;30/06/2019
2100;2655;3835;0;1583;30965;33658;18195;31/07/2019
4000;0;3819;0;789;1550;59127;14355;31/08/2019
;;3853;0;5691;2788;70842;8087;30/09/2019
;;6277;2000;3000;88440;32700;4987;31/10/2019
;;3864;0;0;0;31780;6578;30/11/2019
;;7911;0;0;50600;11695;10835;31/12/2019
0;0;1639;0;3850;26250;46340;17644;31/01/2020
3000;0;4527;0;0;0;63815;29520;28/02/2020
1650;0;5263;0;4000;13200;16355;17029;31/03/2020
0;0;6104;0;0;0;12730;14164;30/04/2020
0;2420;4663;0;4000;10000;55165;14083;31/05/2020
1000;0;4168;0;4000;4500;97363;30304;30/06/2020
3500;0;3814;0;0;0;28300;3831;31/07/2020
0;0;4665;;;;;;31/08/2020
